Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms),S,R,D_mcts,D_minimax,agent_1_type,agent_2_type,matchup,Total Games
"MCTS(S=30,R=2,D=2) vs MCTS(S=30,R=2,D=2)",Black,-1.0,0,0,10,146.1211284001668,30,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=2,D=2) vs MCTS(S=30,R=2,D=2)",White,1.0,10,0,0,145.4808533191681,30,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=2,D=2) vs MCTS(S=30,R=2,D=3)",Black,-1.0,0,0,10,153.33989779154462,30,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=2,D=2) vs MCTS(S=30,R=2,D=3)",White,1.0,10,0,0,184.9358034133911,30,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=2,D=2) vs MCTS(S=30,R=3,D=2)",Black,-1.0,0,0,10,158.2952936490377,30,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=2,D=2) vs MCTS(S=30,R=3,D=2)",White,1.0,10,0,0,208.3786865075429,30,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=2,D=2) vs MCTS(S=30,R=3,D=3)",Black,-1.0,0,0,10,152.72578875223795,30,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=2,D=2) vs MCTS(S=30,R=3,D=3)",White,1.0,10,0,0,252.5204658508301,30,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=2,D=2) vs MCTS(S=50,R=2,D=2)",Black,-0.5,0,5,5,151.79218436732435,30,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=2,D=2) vs MCTS(S=50,R=2,D=2)",White,0.5,5,5,0,266.0307177630337,30,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=2,D=2) vs MCTS(S=50,R=2,D=3)",Black,-1.0,0,0,10,151.84224287668863,30,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
