Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms),S,R,D_mcts,D_minimax,agent_1_type,agent_2_type,matchup,Total Games
"MCTS(S=30,R=2,D=2) vs MiniMax(D=1)",Black,0.0,0,10,0,150.43891906738278,30,2,2,1,MCTS,MiniMax,MCTS vs MiniMax,10
"MCTS(S=30,R=2,D=2) vs MiniMax(D=1)",White,0.0,0,10,0,10.740826924641928,30,2,2,1,MCTS,MiniMax,MCTS vs MiniMax,10
"MCTS(S=30,R=2,D=2) vs MiniMax(D=2)",Black,0.0,0,10,0,137.32727845509845,30,2,2,2,MCTS,MiniMax,MCTS vs MiniMax,10
"MCTS(S=30,R=2,D=2) vs MiniMax(D=2)",White,0.0,0,10,0,239.4016488393148,30,2,2,2,MCTS,MiniMax,MCTS vs MiniMax,10
"MCTS(S=30,R=2,D=3) vs MiniMax(D=1)",Black,-0.1,0,9,1,174.46413358052573,30,2,3,1,MCTS,MiniMax,MCTS vs MiniMax,10
"MCTS(S=30,R=2,D=3) vs MiniMax(D=1)",White,0.1,1,9,0,8.425447940826416,30,2,3,1,MCTS,MiniMax,MCTS vs MiniMax,10
"MCTS(S=30,R=2,D=3) vs MiniMax(D=2)",Black,0.0,0,10,0,174.6803283691406,30,2,3,2,MCTS,MiniMax,MCTS vs MiniMax,10
"MCTS(S=30,R=2,D=3) vs MiniMax(D=2)",White,0.0,0,10,0,249.83542283376056,30,2,3,2,MCTS,MiniMax,MCTS vs MiniMax,10
"MCTS(S=30,R=3,D=2) vs MiniMax(D=1)",Black,0.0,0,10,0,185.78872839609784,30,3,2,1,MCTS,MiniMax,MCTS vs MiniMax,10
"MCTS(S=30,R=3,D=2) vs MiniMax(D=1)",White,0.0,0,10,0,9.476941426595054,30,3,2,1,MCTS,MiniMax,MCTS vs MiniMax,10
"MCTS(S=30,R=3,D=2) vs MiniMax(D=2)",Black,0.0,0,10,0,187.85452683766684,30,3,2,2,MCTS,MiniMax,MCTS vs MiniMax,10
"MCTS(S=30,R=3,D=2) vs MiniMax(D=2)",White,0.0,0,10,0,234.9921147028605,30,3,2,2,MCTS,MiniMax,MCTS vs MiniMax,10
"MCTS(S=30,R=3,D=3) vs MiniMax(D=1)",Black,0.0,0,10,0,247.88942019144693,30,3,3,1,MCTS,MiniMax,MCTS vs MiniMax,10
"MCTS(S=30,R=3,D=3) vs MiniMax(D=1)",White,0.0,0,10,0,9.172609647115072,30,3,3,1,MCTS,MiniMax,MCTS vs MiniMax,10
"MCTS(S=30,R=3,D=3) vs MiniMax(D=2)",Black,0.0,0,10,0,240.74629624684653,30,3,3,2,MCTS,MiniMax,MCTS vs MiniMax,10
"MCTS(S=30,R=3,D=3) vs MiniMax(D=2)",White,0.0,0,10,0,269.1933377583822,30,3,3,2,MCTS,MiniMax,MCTS vs MiniMax,10
"MCTS(S=50,R=2,D=2) vs MiniMax(D=1)",Black,0.0,0,10,0,237.6167170206706,50,2,2,1,MCTS,MiniMax,MCTS vs MiniMax,10
"MCTS(S=50,R=2,D=2) vs MiniMax(D=1)",White,0.0,0,10,0,9.399859110514324,50,2,2,1,MCTS,MiniMax,MCTS vs MiniMax,10
"MCTS(S=50,R=2,D=2) vs MiniMax(D=2)",Black,0.0,0,10,0,249.68552589416504,50,2,2,2,MCTS,MiniMax,MCTS vs MiniMax,10
"MCTS(S=50,R=2,D=2) vs MiniMax(D=2)",White,0.0,0,10,0,300.1023705800374,50,2,2,2,MCTS,MiniMax,MCTS vs MiniMax,10
