Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms),S,R,D_mcts,D_minimax,agent_1_type,agent_2_type,matchup,Total Games
"MCTS(S=30,R=2,D=2) vs Random",Black,0.0,0,10,0,142.0846176147461,30,2,2,0,MCTS,Random,MCTS vs Random,10
"MCTS(S=30,R=2,D=2) vs Random",White,0.0,0,10,0,0.7193279266357421,30,2,2,0,MCTS,Random,MCTS vs Random,10
"MCTS(S=30,R=2,D=3) vs Random",Black,0.0,0,10,0,162.4464750289917,30,2,3,0,MCTS,Random,MCTS vs Random,10
"MCTS(S=30,R=2,D=3) vs Random",White,0.0,0,10,0,0.5706628163655599,30,2,3,0,MCTS,Random,MCTS vs Random,10
"MCTS(S=30,R=3,D=2) vs Random",Black,0.0,0,10,0,171.62862618764242,30,3,2,0,MCTS,Random,MCTS vs Random,10
"MCTS(S=30,R=3,D=2) vs Random",White,0.0,0,10,0,0.6018034617106119,30,3,2,0,MCTS,Random,MCTS vs Random,10
"MCTS(S=30,R=3,D=3) vs Random",Black,0.0,0,10,0,233.78579457600912,30,3,3,0,MCTS,Random,MCTS vs Random,10
"MCTS(S=30,R=3,D=3) vs Random",White,0.0,0,10,0,0.7147041956583657,30,3,3,0,MCTS,Random,MCTS vs Random,10
"MCTS(S=50,R=2,D=2) vs Random",Black,0.0,0,10,0,216.1059109369914,50,2,2,0,MCTS,Random,MCTS vs Random,10
"MCTS(S=50,R=2,D=2) vs Random",White,0.0,0,10,0,0.6401681900024414,50,2,2,0,MCTS,Random,MCTS vs Random,10
"MCTS(S=50,R=2,D=3) vs Random",Black,0.0,0,10,0,265.21174112955725,50,2,3,0,MCTS,Random,MCTS vs Random,10
"MCTS(S=50,R=2,D=3) vs Random",White,0.0,0,10,0,0.6241480509440105,50,2,3,0,MCTS,Random,MCTS vs Random,10
"MCTS(S=50,R=3,D=2) vs Random",Black,0.0,0,10,0,296.7165644963583,50,3,2,0,MCTS,Random,MCTS vs Random,10
"MCTS(S=50,R=3,D=2) vs Random",White,0.0,0,10,0,0.66039244333903,50,3,2,0,MCTS,Random,MCTS vs Random,10
"MCTS(S=50,R=3,D=3) vs Random",Black,0.0,0,10,0,382.4396848678589,50,3,3,0,MCTS,Random,MCTS vs Random,10
"MCTS(S=50,R=3,D=3) vs Random",White,0.0,0,10,0,0.6971708933512369,50,3,3,0,MCTS,Random,MCTS vs Random,10
"MCTS(S=70,R=2,D=2) vs Random",Black,0.0,0,10,0,306.7314275105794,70,2,2,0,MCTS,Random,MCTS vs Random,10
"MCTS(S=70,R=2,D=2) vs Random",White,0.0,0,10,0,0.6504011154174806,70,2,2,0,MCTS,Random,MCTS vs Random,10
"MCTS(S=70,R=2,D=3) vs Random",Black,0.1,1,9,0,398.69559446970624,70,2,3,0,MCTS,Random,MCTS vs Random,10
"MCTS(S=70,R=2,D=3) vs Random",White,-0.1,0,9,1,0.6132384141286212,70,2,3,0,MCTS,Random,MCTS vs Random,10
"MCTS(S=70,R=3,D=2) vs Random",Black,0.0,0,10,0,431.01071198781335,70,3,2,0,MCTS,Random,MCTS vs Random,10
"MCTS(S=70,R=3,D=2) vs Random",White,0.0,0,10,0,0.6215985616048176,70,3,2,0,MCTS,Random,MCTS vs Random,10
"MCTS(S=70,R=3,D=3) vs Random",Black,0.0,0,10,0,535.4923645655314,70,3,3,0,MCTS,Random,MCTS vs Random,10
"MCTS(S=70,R=3,D=3) vs Random",White,0.0,0,10,0,0.6744480133056641,70,3,3,0,MCTS,Random,MCTS vs Random,10
"Random vs MCTS(S=30,R=2,D=2)",Black,-1.0,0,0,10,0.6447773887997582,30,2,2,0,Random,MCTS,Random vs MCTS,10
"Random vs MCTS(S=30,R=2,D=2)",White,1.0,10,0,0,143.5709216764995,30,2,2,0,Random,MCTS,Random vs MCTS,10
"Random vs MCTS(S=30,R=2,D=3)",Black,-1.0,0,0,10,0.5774212915659983,30,2,3,0,Random,MCTS,Random vs MCTS,10
"Random vs MCTS(S=30,R=2,D=3)",White,1.0,10,0,0,170.44697249090518,30,2,3,0,Random,MCTS,Random vs MCTS,10
"Random vs MCTS(S=30,R=3,D=2)",Black,-1.0,0,0,10,0.6959420864028161,30,3,2,0,Random,MCTS,Random vs MCTS,10
"Random vs MCTS(S=30,R=3,D=2)",White,1.0,10,0,0,192.22156471246248,30,3,2,0,Random,MCTS,Random vs MCTS,10
"Random vs MCTS(S=30,R=3,D=3)",Black,-0.9,0,1,9,0.7093456624046205,30,3,3,0,Random,MCTS,Random vs MCTS,10
"Random vs MCTS(S=30,R=3,D=3)",White,0.9,9,1,0,256.8879489482395,30,3,3,0,Random,MCTS,Random vs MCTS,10
"Random vs MCTS(S=50,R=2,D=2)",Black,-1.0,0,0,10,0.5925141732930105,50,2,2,0,Random,MCTS,Random vs MCTS,10
"Random vs MCTS(S=50,R=2,D=2)",White,1.0,10,0,0,227.0747494577157,50,2,2,0,Random,MCTS,Random vs MCTS,10
"Random vs MCTS(S=50,R=2,D=3)",Black,-0.9,0,1,9,0.639337385543669,50,2,3,0,Random,MCTS,Random vs MCTS,10
"Random vs MCTS(S=50,R=2,D=3)",White,0.9,9,1,0,296.8161515205626,50,2,3,0,Random,MCTS,Random vs MCTS,10
"Random vs MCTS(S=50,R=3,D=2)",Black,-1.0,0,0,10,0.6473723858121841,50,3,2,0,Random,MCTS,Random vs MCTS,10
"Random vs MCTS(S=50,R=3,D=2)",White,1.0,10,0,0,321.0390307600536,50,3,2,0,Random,MCTS,Random vs MCTS,10
"Random vs MCTS(S=50,R=3,D=3)",Black,-1.0,0,0,10,0.829408096743154,50,3,3,0,Random,MCTS,Random vs MCTS,10
"Random vs MCTS(S=50,R=3,D=3)",White,1.0,10,0,0,419.0478094040401,50,3,3,0,Random,MCTS,Random vs MCTS,10
"Random vs MCTS(S=70,R=2,D=2)",Black,-1.0,0,0,10,0.6447551269379873,70,2,2,0,Random,MCTS,Random vs MCTS,10
"Random vs MCTS(S=70,R=2,D=2)",White,1.0,10,0,0,368.06158071472527,70,2,2,0,Random,MCTS,Random vs MCTS,10
"Random vs MCTS(S=70,R=2,D=3)",Black,-1.0,0,0,10,0.7004237873650296,70,2,3,0,Random,MCTS,Random vs MCTS,10
"Random vs MCTS(S=70,R=2,D=3)",White,1.0,10,0,0,445.6708729922116,70,2,3,0,Random,MCTS,Random vs MCTS,10
"Random vs MCTS(S=70,R=3,D=2)",Black,-0.9,0,1,9,0.7172330788203648,70,3,2,0,Random,MCTS,Random vs MCTS,10
"Random vs MCTS(S=70,R=3,D=2)",White,0.9,9,1,0,467.1451581943603,70,3,2,0,Random,MCTS,Random vs MCTS,10
"Random vs MCTS(S=70,R=3,D=3)",Black,-1.0,0,0,10,0.6342689632932782,70,3,3,0,Random,MCTS,Random vs MCTS,10
"Random vs MCTS(S=70,R=3,D=3)",White,1.0,10,0,0,611.1413189809481,70,3,3,0,Random,MCTS,Random vs MCTS,10
