Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms),S,R,D_mcts,D_minimax,agent_1_type,agent_2_type,matchup,Total Games
"MCTS(S=10,R=1,D=1) vs MCTS(S=10,R=1,D=1)",X,0.38,33,3,14,9.245362917582192,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=10,R=1,D=1)",O,-0.38,14,3,33,9.674781163533527,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=10,R=1,D=2)",X,0.26,28,7,15,8.962630351384481,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=10,R=1,D=2)",O,-0.26,15,7,28,8.539071480433146,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=10,R=1,D=3)",X,-0.02,23,3,24,9.260437726974486,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=10,R=1,D=3)",O,0.02,24,3,23,8.589813311894735,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=10,R=2,D=1)",X,0.4,34,2,14,9.595093886057535,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=10,R=2,D=1)",O,-0.4,14,2,34,15.159629185994469,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=10,R=2,D=2)",X,-0.02,22,5,23,9.403274615605673,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=10,R=2,D=2)",O,0.02,23,5,22,14.131080706914268,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=10,R=2,D=3)",X,0.08,24,6,20,9.17936952908834,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=10,R=2,D=3)",O,-0.08,20,6,24,13.345173597335815,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=10,R=3,D=1)",X,0.34,29,9,12,8.89134947458903,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=10,R=3,D=1)",O,-0.34,12,9,29,20.533287922541295,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=10,R=3,D=2)",X,0.12,25,6,19,9.572950919469198,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=10,R=3,D=2)",O,-0.12,19,6,25,19.36309655507405,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=10,R=3,D=3)",X,-0.26,16,5,29,9.076920350392658,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=10,R=3,D=3)",O,0.26,29,5,16,16.97968681653341,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=30,R=1,D=1)",X,0.46,35,3,12,8.653476635615032,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=30,R=1,D=1)",O,-0.46,12,3,35,26.088420152664185,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=30,R=1,D=2)",X,-0.06,22,3,25,8.82010261217753,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=30,R=1,D=2)",O,0.06,25,3,22,22.57789293924968,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=30,R=1,D=3)",X,0.14,28,1,21,8.635769526163738,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=30,R=1,D=3)",O,-0.14,21,1,28,22.128511667251587,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=30,R=2,D=1)",X,0.32,33,0,17,8.748009125391643,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=30,R=2,D=1)",O,-0.32,17,0,33,42.158048152923584,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=30,R=2,D=2)",X,-0.14,19,5,26,8.515202601750694,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=30,R=2,D=2)",O,0.14,26,5,19,36.61743720372518,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=30,R=2,D=3)",X,-0.36,14,4,32,8.754806836446127,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=30,R=2,D=3)",O,0.36,32,4,14,33.61632903416952,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=30,R=3,D=1)",X,0.32,33,0,17,8.747406800587973,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=30,R=3,D=1)",O,-0.32,17,0,33,57.1186085542043,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=30,R=3,D=2)",X,-0.08,19,8,23,8.717999696731567,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
