Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms),S,R,D_mcts,D_minimax,agent_1_type,agent_2_type,matchup,Total Games
"MCTS(S=10,R=1,D=1) vs MiniMax(D=1)",X,1.0,50,0,0,9.237228870391846,10,1,1,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=10,R=1,D=1) vs MiniMax(D=1)",O,-1.0,0,0,50,3.198875188827514,10,1,1,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=10,R=1,D=1) vs MiniMax(D=2)",X,-0.36,4,24,22,9.0455961227417,10,1,1,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=10,R=1,D=1) vs MiniMax(D=2)",O,0.36,22,24,4,13.524707555770874,10,1,1,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=10,R=1,D=1) vs MiniMax(D=3)",X,-0.58,8,5,37,9.23874870936076,10,1,1,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=10,R=1,D=1) vs MiniMax(D=3)",O,0.58,37,5,8,73.450608253479,10,1,1,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=10,R=1,D=2) vs MiniMax(D=1)",X,1.0,50,0,0,8.732561906178793,10,1,2,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=10,R=1,D=2) vs MiniMax(D=1)",O,-1.0,0,0,50,3.0552856127421064,10,1,2,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=10,R=1,D=2) vs MiniMax(D=2)",X,-0.22,6,27,17,8.62713146209717,10,1,2,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=10,R=1,D=2) vs MiniMax(D=2)",O,0.22,17,27,6,14.194871187210085,10,1,2,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=10,R=1,D=2) vs MiniMax(D=3)",X,-0.5,10,5,35,8.56318179766337,10,1,2,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=10,R=1,D=2) vs MiniMax(D=3)",O,0.5,35,5,10,70.88276306788126,10,1,2,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=10,R=1,D=3) vs MiniMax(D=1)",X,1.0,50,0,0,7.989882946014404,10,1,3,1,MCTS,MiniMax,MCTS vs MiniMax,50
