Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms),S,R,D_mcts,D_minimax,agent_1_type,agent_2_type,matchup,Total Games
"MCTS(S=10,R=1,D=1) vs Random",X,0.52,37,2,11,9.734878540039062,10,1,1,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=10,R=1,D=1) vs Random",O,-0.52,11,2,37,0.0393275419871012,10,1,1,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=10,R=1,D=2) vs Random",X,0.92,47,2,1,8.460501352945963,10,1,2,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=10,R=1,D=2) vs Random",O,-0.92,1,2,47,0.1062695185343424,10,1,2,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=10,R=1,D=3) vs Random",X,0.74,41,5,4,8.568511565526327,10,1,3,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=10,R=1,D=3) vs Random",O,-0.74,4,5,41,0.0451099872589111,10,1,3,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=10,R=2,D=1) vs Random",X,0.8,43,4,3,15.400399923324583,10,2,1,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=10,R=2,D=1) vs Random",O,-0.8,3,4,43,0.0401182969411214,10,2,1,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=10,R=2,D=2) vs Random",X,0.84,45,2,3,14.56428122520447,10,2,2,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=10,R=2,D=2) vs Random",O,-0.84,3,2,45,0.0519446531931559,10,2,2,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=10,R=2,D=3) vs Random",X,0.92,47,2,1,13.247872591018671,10,2,3,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=10,R=2,D=3) vs Random",O,-0.92,1,2,47,0.0702234109242757,10,2,3,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=10,R=3,D=1) vs Random",X,0.64,40,2,8,19.094659248987835,10,3,1,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=10,R=3,D=1) vs Random",O,-0.64,8,2,40,0.0384163856506347,10,3,1,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=10,R=3,D=2) vs Random",X,0.86,46,1,3,19.804471174875896,10,3,2,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=10,R=3,D=2) vs Random",O,-0.86,3,1,46,0.0717894236246744,10,3,2,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=10,R=3,D=3) vs Random",X,1.0,50,0,0,19.413520812988285,10,3,3,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=10,R=3,D=3) vs Random",O,-1.0,0,0,50,0.0461689631144205,10,3,3,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=30,R=1,D=1) vs Random",X,0.88,46,2,2,25.208860953648887,30,1,1,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=30,R=1,D=1) vs Random",O,-0.88,2,2,46,0.0685584545135498,30,1,1,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=30,R=1,D=2) vs Random",X,0.76,41,6,3,23.33386874198913,30,1,2,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=30,R=1,D=2) vs Random",O,-0.76,3,6,41,0.0706716378529866,30,1,2,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=30,R=1,D=3) vs Random",X,1.0,50,0,0,22.352673371632893,30,1,3,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=30,R=1,D=3) vs Random",O,-1.0,0,0,50,0.0450650850931803,30,1,3,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=30,R=2,D=1) vs Random",X,0.82,45,1,4,42.26629145940144,30,2,1,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=30,R=2,D=1) vs Random",O,-0.82,4,1,45,0.05523681640625,30,2,1,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=30,R=2,D=2) vs Random",X,0.92,46,4,0,38.276966969172165,30,2,2,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=30,R=2,D=2) vs Random",O,-0.92,0,4,46,0.0280944506327311,30,2,2,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=30,R=2,D=3) vs Random",X,0.86,46,1,3,37.335219542185456,30,2,3,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=30,R=2,D=3) vs Random",O,-0.86,3,1,46,0.0768756866455078,30,2,3,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=30,R=3,D=1) vs Random",X,0.76,44,0,6,56.86989076932271,30,3,1,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=30,R=3,D=1) vs Random",O,-0.76,6,0,44,0.035099983215332,30,3,1,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=30,R=3,D=2) vs Random",X,0.92,47,2,1,56.023894230524704,30,3,2,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=30,R=3,D=2) vs Random",O,-0.92,1,2,47,0.0275909900665283,30,3,2,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=30,R=3,D=3) vs Random",X,0.94,48,1,1,51.12455670038859,30,3,3,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=30,R=3,D=3) vs Random",O,-0.94,1,1,48,0.0751638412475586,30,3,3,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=50,R=1,D=1) vs Random",X,0.82,45,1,4,41.3918072382609,50,1,1,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=50,R=1,D=1) vs Random",O,-0.82,4,1,45,0.0926832358042399,50,1,1,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=50,R=1,D=2) vs Random",X,0.86,46,1,3,39.57513197263082,50,1,2,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=50,R=1,D=2) vs Random",O,-0.86,3,1,46,0.0636879603068033,50,1,2,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=50,R=1,D=3) vs Random",X,0.88,46,2,2,39.50680740674336,50,1,3,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=50,R=1,D=3) vs Random",O,-0.88,2,2,46,0.0924118359883626,50,1,3,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=50,R=2,D=1) vs Random",X,0.92,47,2,1,69.70373463630676,50,2,1,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=50,R=2,D=1) vs Random",O,-0.92,1,2,47,0.0734945138295491,50,2,1,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=50,R=2,D=2) vs Random",X,0.96,49,0,1,67.7035361925761,50,2,2,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=50,R=2,D=2) vs Random",O,-0.96,1,0,49,0.0351333618164062,50,2,2,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=50,R=2,D=3) vs Random",X,1.0,50,0,0,67.35905647277833,50,2,3,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=50,R=2,D=3) vs Random",O,-1.0,0,0,50,0.0544126828511556,50,2,3,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=50,R=3,D=1) vs Random",X,0.78,43,3,4,97.84330995877583,50,3,1,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=50,R=3,D=1) vs Random",O,-0.78,4,3,43,0.0605599085489908,50,3,1,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=50,R=3,D=2) vs Random",X,0.8,45,0,5,106.84192999204,50,3,2,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=50,R=3,D=2) vs Random",O,-0.8,5,0,45,0.0889162222544352,50,3,2,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=50,R=3,D=3) vs Random",X,0.9,46,3,1,95.77792803446452,50,3,3,0,MCTS,Random,MCTS vs Random,50
"MCTS(S=50,R=3,D=3) vs Random",O,-0.9,1,3,46,0.0693380832672119,50,3,3,0,MCTS,Random,MCTS vs Random,50
"Random vs MCTS(S=10,R=1,D=1)",X,-0.24,14,10,26,0.0569423039754231,10,1,1,0,Random,MCTS,Random vs MCTS,50
"Random vs MCTS(S=10,R=1,D=1)",O,0.24,26,10,14,9.836007754007976,10,1,1,0,Random,MCTS,Random vs MCTS,50
"Random vs MCTS(S=10,R=1,D=2)",X,-0.4,11,8,31,0.0414148171742757,10,1,2,0,Random,MCTS,Random vs MCTS,50
"Random vs MCTS(S=10,R=1,D=2)",O,0.4,31,8,11,9.723119338353474,10,1,2,0,Random,MCTS,Random vs MCTS,50
"Random vs MCTS(S=10,R=1,D=3)",X,-0.36,13,6,31,0.0655776659647623,10,1,3,0,Random,MCTS,Random vs MCTS,50
"Random vs MCTS(S=10,R=1,D=3)",O,0.36,31,6,13,8.723243872324627,10,1,3,0,Random,MCTS,Random vs MCTS,50
"Random vs MCTS(S=10,R=2,D=1)",X,-0.1,17,11,22,0.0509918530782063,10,2,1,0,Random,MCTS,Random vs MCTS,50
"Random vs MCTS(S=10,R=2,D=1)",O,0.1,22,11,17,15.773596366246544,10,2,1,0,Random,MCTS,Random vs MCTS,50
"Random vs MCTS(S=10,R=2,D=2)",X,-0.32,13,8,29,0.0520631472269694,10,2,2,0,Random,MCTS,Random vs MCTS,50
"Random vs MCTS(S=10,R=2,D=2)",O,0.32,29,8,13,15.825213988622028,10,2,2,0,Random,MCTS,Random vs MCTS,50
"Random vs MCTS(S=10,R=2,D=3)",X,-0.36,11,10,29,0.0809764067331949,10,2,3,0,Random,MCTS,Random vs MCTS,50
"Random vs MCTS(S=10,R=2,D=3)",O,0.36,29,10,11,13.35802714029948,10,2,3,0,Random,MCTS,Random vs MCTS,50
"Random vs MCTS(S=10,R=3,D=1)",X,-0.02,21,7,22,0.036814530690511,10,3,1,0,Random,MCTS,Random vs MCTS,50
"Random vs MCTS(S=10,R=3,D=1)",O,0.02,22,7,21,19.795010487238567,10,3,1,0,Random,MCTS,Random vs MCTS,50
"Random vs MCTS(S=10,R=3,D=2)",X,-0.34,11,11,28,0.0423848628997802,10,3,2,0,Random,MCTS,Random vs MCTS,50
"Random vs MCTS(S=10,R=3,D=2)",O,0.34,28,11,11,17.554646333058677,10,3,2,0,Random,MCTS,Random vs MCTS,50
"Random vs MCTS(S=10,R=3,D=3)",X,-0.38,11,9,30,0.0726784070332845,10,3,3,0,Random,MCTS,Random vs MCTS,50
"Random vs MCTS(S=10,R=3,D=3)",O,0.38,30,9,11,16.881436506907143,10,3,3,0,Random,MCTS,Random vs MCTS,50
"Random vs MCTS(S=30,R=1,D=1)",X,-0.28,15,6,29,0.0403544108072916,30,1,1,0,Random,MCTS,Random vs MCTS,50
"Random vs MCTS(S=30,R=1,D=1)",O,0.28,29,6,15,23.107393582661945,30,1,1,0,Random,MCTS,Random vs MCTS,50
"Random vs MCTS(S=30,R=1,D=2)",X,-0.56,6,10,34,0.0674733320871989,30,1,2,0,Random,MCTS,Random vs MCTS,50
"Random vs MCTS(S=30,R=1,D=2)",O,0.56,34,10,6,21.39566461245219,30,1,2,0,Random,MCTS,Random vs MCTS,50
"Random vs MCTS(S=30,R=1,D=3)",X,-0.52,10,4,36,0.0427733262379964,30,1,3,0,Random,MCTS,Random vs MCTS,50
"Random vs MCTS(S=30,R=1,D=3)",O,0.52,36,4,10,20.95198074976604,30,1,3,0,Random,MCTS,Random vs MCTS,50
"Random vs MCTS(S=30,R=2,D=1)",X,-0.34,12,9,29,0.0492848555246988,30,2,1,0,Random,MCTS,Random vs MCTS,50
"Random vs MCTS(S=30,R=2,D=1)",O,0.34,29,9,12,39.63173151016235,30,2,1,0,Random,MCTS,Random vs MCTS,50
"Random vs MCTS(S=30,R=2,D=2)",X,-0.38,8,15,27,0.061939795811971,30,2,2,0,Random,MCTS,Random vs MCTS,50
"Random vs MCTS(S=30,R=2,D=2)",O,0.38,27,15,8,34.96458729108175,30,2,2,0,Random,MCTS,Random vs MCTS,50
