Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms)
"MCTS(S=10,R=1,D=1) vs Random",X,0.92,48,0,2,8.437044938405355
"MCTS(S=10,R=1,D=1) vs Random",O,-0.92,2,0,48,0.015075206756591797
"MCTS(S=10,R=1,D=2) vs Random",X,0.68,40,4,6,8.392178297042845
"MCTS(S=10,R=1,D=2) vs Random",O,-0.68,6,4,40,0.03325382868448893
"MCTS(S=10,R=1,D=3) vs Random",X,0.7,42,1,7,7.862621227900188
"MCTS(S=10,R=1,D=3) vs Random",O,-0.7,7,1,42,0.02669413884480794
"MCTS(S=10,R=2,D=1) vs Random",X,0.9,47,1,2,12.620232899983723
"MCTS(S=10,R=2,D=1) vs Random",O,-0.9,2,1,47,0.01001596450805664
"MCTS(S=10,R=2,D=2) vs Random",X,0.88,45,4,1,11.87853988011678
"MCTS(S=10,R=2,D=2) vs Random",O,-0.88,1,4,45,0.03261288007100423
"MCTS(S=10,R=2,D=3) vs Random",X,0.86,44,5,1,11.863317092259724
"MCTS(S=10,R=2,D=3) vs Random",O,-0.86,1,5,44,0.03658175468444824
"MCTS(S=10,R=3,D=1) vs Random",X,0.92,48,0,2,16.639505624771118
"MCTS(S=10,R=3,D=1) vs Random",O,-0.92,2,0,48,0.011688073476155601
"MCTS(S=10,R=3,D=2) vs Random",X,0.9,46,3,1,16.587449312210083
"MCTS(S=10,R=3,D=2) vs Random",O,-0.9,1,3,46,0.023295879364013672
"MCTS(S=10,R=3,D=3) vs Random",X,0.9,47,1,2,17.010584831237793
"MCTS(S=10,R=3,D=3) vs Random",O,-0.9,2,1,47,0.006661415100097656
"MCTS(S=30,R=1,D=1) vs Random",X,0.86,46,1,3,24.78234052658081
"MCTS(S=30,R=1,D=1) vs Random",O,-0.86,3,1,46,0.006663004557291666
"MCTS(S=30,R=1,D=2) vs Random",X,0.84,45,2,3,24.312038501103718
"MCTS(S=30,R=1,D=2) vs Random",O,-0.84,3,2,45,0.0394284725189209
"MCTS(S=30,R=1,D=3) vs Random",X,0.66,41,1,8,25.20445966720581
"MCTS(S=30,R=1,D=3) vs Random",O,-0.66,8,1,41,0.006670951843261719
"MCTS(S=30,R=2,D=1) vs Random",X,1.0,50,0,0,40.133309761683144
"MCTS(S=30,R=2,D=1) vs Random",O,-1.0,0,0,50,0.048334201176961265
"MCTS(S=30,R=2,D=2) vs Random",X,0.9,47,1,2,37.13228710492452
"MCTS(S=30,R=2,D=2) vs Random",O,-0.9,2,1,47,0.021660327911376953
"MCTS(S=30,R=2,D=3) vs Random",X,0.88,46,2,2,36.07444556554158
"MCTS(S=30,R=2,D=3) vs Random",O,-0.88,2,2,46,0.013337135314941406
"MCTS(S=30,R=3,D=1) vs Random",X,0.96,48,2,0,47.939426263173424
"MCTS(S=30,R=3,D=1) vs Random",O,-0.96,0,2,48,0.03142674763997396
"MCTS(S=30,R=3,D=2) vs Random",X,0.94,48,1,1,45.90525364875794
"MCTS(S=30,R=3,D=2) vs Random",O,-0.94,1,1,48,0.005010366439819336
"MCTS(S=30,R=3,D=3) vs Random",X,0.94,48,1,1,46.788575092951454
"MCTS(S=30,R=3,D=3) vs Random",O,-0.94,1,1,48,0.023322105407714844
"MCTS(S=50,R=1,D=1) vs Random",X,0.96,49,0,1,37.85302885373434
"MCTS(S=50,R=1,D=1) vs Random",O,-0.96,1,0,49,0.04670103391011557
