Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms)
"MCTS(S=30,R=2,D=2) vs Random",Black,0.0,0,10,0,142.0846176147461
"MCTS(S=30,R=2,D=2) vs Random",White,0.0,0,10,0,0.7193279266357421
"MCTS(S=30,R=2,D=3) vs Random",Black,0.0,0,10,0,162.4464750289917
"MCTS(S=30,R=2,D=3) vs Random",White,0.0,0,10,0,0.5706628163655599
"MCTS(S=30,R=3,D=2) vs Random",Black,0.0,0,10,0,171.62862618764242
"MCTS(S=30,R=3,D=2) vs Random",White,0.0,0,10,0,0.6018034617106119
"MCTS(S=30,R=3,D=3) vs Random",Black,0.0,0,10,0,233.78579457600912
"MCTS(S=30,R=3,D=3) vs Random",White,0.0,0,10,0,0.7147041956583657
"MCTS(S=50,R=2,D=2) vs Random",Black,0.0,0,10,0,216.1059109369914
"MCTS(S=50,R=2,D=2) vs Random",White,0.0,0,10,0,0.6401681900024414
"MCTS(S=50,R=2,D=3) vs Random",Black,0.0,0,10,0,265.21174112955725
"MCTS(S=50,R=2,D=3) vs Random",White,0.0,0,10,0,0.6241480509440105
"MCTS(S=50,R=3,D=2) vs Random",Black,0.0,0,10,0,296.7165644963583
"MCTS(S=50,R=3,D=2) vs Random",White,0.0,0,10,0,0.66039244333903
"MCTS(S=50,R=3,D=3) vs Random",Black,0.0,0,10,0,382.4396848678589
"MCTS(S=50,R=3,D=3) vs Random",White,0.0,0,10,0,0.6971708933512369
"MCTS(S=70,R=2,D=2) vs Random",Black,0.0,0,10,0,306.7314275105794
"MCTS(S=70,R=2,D=2) vs Random",White,0.0,0,10,0,0.6504011154174806
"MCTS(S=70,R=2,D=3) vs Random",Black,0.1,1,9,0,398.69559446970624
"MCTS(S=70,R=2,D=3) vs Random",White,-0.1,0,9,1,0.6132384141286212
"MCTS(S=70,R=3,D=2) vs Random",Black,0.0,0,10,0,431.01071198781335
"MCTS(S=70,R=3,D=2) vs Random",White,0.0,0,10,0,0.6215985616048176
"MCTS(S=70,R=3,D=3) vs Random",Black,0.0,0,10,0,535.4923645655314
"MCTS(S=70,R=3,D=3) vs Random",White,0.0,0,10,0,0.6744480133056641
"Random vs MCTS(S=30,R=2,D=2)",Black,-1.0,0,0,10,0.6447773887997582
"Random vs MCTS(S=30,R=2,D=2)",White,1.0,10,0,0,143.5709216764995
