Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms)
"MCTS(S=10,R=1,D=1) vs Random",X,0.52,37,2,11,9.734878540039062
"MCTS(S=10,R=1,D=1) vs Random",O,-0.52,11,2,37,0.03932754198710124
"MCTS(S=10,R=1,D=2) vs Random",X,0.92,47,2,1,8.460501352945963
"MCTS(S=10,R=1,D=2) vs Random",O,-0.92,1,2,47,0.10626951853434244
"MCTS(S=10,R=1,D=3) vs Random",X,0.74,41,5,4,8.568511565526327
"MCTS(S=10,R=1,D=3) vs Random",O,-0.74,4,5,41,0.04510998725891113
"MCTS(S=10,R=2,D=1) vs Random",X,0.8,43,4,3,15.400399923324583
"MCTS(S=10,R=2,D=1) vs Random",O,-0.8,3,4,43,0.040118296941121415
"MCTS(S=10,R=2,D=2) vs Random",X,0.84,45,2,3,14.56428122520447
"MCTS(S=10,R=2,D=2) vs Random",O,-0.84,3,2,45,0.05194465319315592
"MCTS(S=10,R=2,D=3) vs Random",X,0.92,47,2,1,13.247872591018673
"MCTS(S=10,R=2,D=3) vs Random",O,-0.92,1,2,47,0.07022341092427573
"MCTS(S=10,R=3,D=1) vs Random",X,0.64,40,2,8,19.094659248987835
"MCTS(S=10,R=3,D=1) vs Random",O,-0.64,8,2,40,0.038416385650634766
"MCTS(S=10,R=3,D=2) vs Random",X,0.86,46,1,3,19.804471174875896
"MCTS(S=10,R=3,D=2) vs Random",O,-0.86,3,1,46,0.07178942362467447
"MCTS(S=10,R=3,D=3) vs Random",X,1.0,50,0,0,19.413520812988285
"MCTS(S=10,R=3,D=3) vs Random",O,-1.0,0,0,50,0.04616896311442058
"MCTS(S=30,R=1,D=1) vs Random",X,0.88,46,2,2,25.208860953648887
"MCTS(S=30,R=1,D=1) vs Random",O,-0.88,2,2,46,0.0685584545135498
"MCTS(S=30,R=1,D=2) vs Random",X,0.76,41,6,3,23.333868741989132
"MCTS(S=30,R=1,D=2) vs Random",O,-0.76,3,6,41,0.07067163785298665
"MCTS(S=30,R=1,D=3) vs Random",X,1.0,50,0,0,22.352673371632893
"MCTS(S=30,R=1,D=3) vs Random",O,-1.0,0,0,50,0.04506508509318034
"MCTS(S=30,R=2,D=1) vs Random",X,0.82,45,1,4,42.266291459401444
"MCTS(S=30,R=2,D=1) vs Random",O,-0.82,4,1,45,0.05523681640625
"MCTS(S=30,R=2,D=2) vs Random",X,0.92,46,4,0,38.276966969172165
"MCTS(S=30,R=2,D=2) vs Random",O,-0.92,0,4,46,0.02809445063273112
"MCTS(S=30,R=2,D=3) vs Random",X,0.86,46,1,3,37.335219542185456
"MCTS(S=30,R=2,D=3) vs Random",O,-0.86,3,1,46,0.07687568664550781
"MCTS(S=30,R=3,D=1) vs Random",X,0.76,44,0,6,56.86989076932271
"MCTS(S=30,R=3,D=1) vs Random",O,-0.76,6,0,44,0.03509998321533203
"MCTS(S=30,R=3,D=2) vs Random",X,0.92,47,2,1,56.023894230524704
"MCTS(S=30,R=3,D=2) vs Random",O,-0.92,1,2,47,0.02759099006652832
"MCTS(S=30,R=3,D=3) vs Random",X,0.94,48,1,1,51.12455670038859
"MCTS(S=30,R=3,D=3) vs Random",O,-0.94,1,1,48,0.0751638412475586
"MCTS(S=50,R=1,D=1) vs Random",X,0.82,45,1,4,41.3918072382609
"MCTS(S=50,R=1,D=1) vs Random",O,-0.82,4,1,45,0.0926832358042399
"MCTS(S=50,R=1,D=2) vs Random",X,0.86,46,1,3,39.57513197263082
"MCTS(S=50,R=1,D=2) vs Random",O,-0.86,3,1,46,0.06368796030680339
"MCTS(S=50,R=1,D=3) vs Random",X,0.88,46,2,2,39.50680740674336
"MCTS(S=50,R=1,D=3) vs Random",O,-0.88,2,2,46,0.09241183598836263
"MCTS(S=50,R=2,D=1) vs Random",X,0.92,47,2,1,69.70373463630676
"MCTS(S=50,R=2,D=1) vs Random",O,-0.92,1,2,47,0.07349451382954916
"MCTS(S=50,R=2,D=2) vs Random",X,0.96,49,0,1,67.7035361925761
"MCTS(S=50,R=2,D=2) vs Random",O,-0.96,1,0,49,0.03513336181640625
"MCTS(S=50,R=2,D=3) vs Random",X,1.0,50,0,0,67.35905647277833
"MCTS(S=50,R=2,D=3) vs Random",O,-1.0,0,0,50,0.05441268285115561
"MCTS(S=50,R=3,D=1) vs Random",X,0.78,43,3,4,97.84330995877583
"MCTS(S=50,R=3,D=1) vs Random",O,-0.78,4,3,43,0.06055990854899089
"MCTS(S=50,R=3,D=2) vs Random",X,0.8,45,0,5,106.84192999204001
"MCTS(S=50,R=3,D=2) vs Random",O,-0.8,5,0,45,0.08891622225443523
"MCTS(S=50,R=3,D=3) vs Random",X,0.9,46,3,1,95.77792803446451
